,Unnamed: 0,time,median_100_200Hz,avg_100_200Hz,median_400_600Hz,avg_400_600Hz,median_800_1000Hz,avg_800_1000Hz,median_1000_1200Hz,avg_1000_1200Hz,median_1600_1800Hz,avg_1600_1800Hz,median_2000_2600Hz,avg_2000_2600Hz,median_3000_4000Hz,avg_3000_4000Hz
62,14,2023-06-04 07:15:00,-10.25645807576839,-10.042789373983991,-9.483786570225975,-9.130431461614132,-8.475668093772887,-8.296162844078136,-8.861764518973834,-8.680374179506547,-10.287631606354932,-10.126128991916378,-10.848848888303886,-10.673359841770958,-11.521575643115264,-11.306178380293154
63,15,2023-06-04 07:45:00,-10.21611562100125,-9.997961759881433,-9.467994043468476,-9.121729528882542,-8.49352918116481,-8.33154427309541,-8.861764518973834,-8.680374179506547,-10.29063157254529,-10.126128991916378,-10.857592206641607,-10.687240413912669,-11.512168076088496,-11.299159310465749
64,16,2023-06-04 08:15:00,-10.176298292964798,-9.946879843846208,-9.4671375234652,-9.11005164611385,-8.49352918116481,-8.33154427309541,-8.861764518973834,-8.680374179506547,-10.29063157254529,-10.124644514020698,-10.86993328097116,-10.694921269650653,-11.512342697562282,-11.303934225161576
65,17,2023-06-04 08:45:00,-10.152668266488536,-9.931291937498996,-9.466179547172157,-9.11005164611385,-8.514081022380287,-8.34539947422627,-8.861764518973834,-8.680374179506547,-10.28744069523342,-10.1213287967646,-10.86993328097116,-10.694921269650653,-11.52543417627822,-11.306178380293154
66,18,2023-06-04 09:15:00,-10.137592475377454,-9.919303448886469,-9.466179547172157,-9.11005164611385,-8.55854421072992,-8.393347736021276,-8.87765576580061,-8.684024601422886,-10.28744069523342,-10.116295221570386,-10.87053703750645,-10.69731583211457,-11.528405451742907,-11.306178380293154
67,19,2023-06-04 09:45:00,-10.137592475377454,-9.919303448886469,-9.464237752591115,-9.116732077038227,-8.52402608054301,-8.34539947422627,-8.89381331236583,-8.7072305698516,-10.287914687485584,-10.1213287967646,-10.876324705485525,-10.699085815786372,-11.520889211786002,-11.303934225161576
68,20,2023-06-04 10:15:00,-10.137592475377454,-9.919303448886469,-9.458844145818505,-9.119745633721672,-8.514081022380287,-8.33154427309541,-8.87765576580061,-8.684024601422886,-10.287914687485584,-10.116295221570386,-10.88709275856293,-10.710913094605022,-11.512342697562282,-11.295067726843731
69,21,2023-06-04 10:45:00,-10.137592475377454,-9.914056948775558,-9.45710438917909,-9.119745633721672,-8.494270913270613,-8.331413441316585,-8.87765576580061,-8.684024601422886,-10.287914687485584,-10.105123738205467,-10.890406365136574,-10.713556776868192,-11.512342697562282,-11.293540476026134
70,22,2023-06-04 11:15:00,-10.137592475377454,-9.914056948775558,-9.452113222220358,-9.119745633721672,-8.494270913270613,-8.320468624655739,-8.87765576580061,-8.684024601422886,-10.276319975426771,-10.10508888003469,-10.901769609166774,-10.729866808807753,-11.520647490831635,-11.293540476026134
71,23,2023-06-04 11:45:00,-10.15480716129662,-9.919303448886469,-9.45710438917909,-9.119745633721672,-8.514081022380287,-8.331413441316585,-8.87066309799887,-8.68309617103191,-10.26364977490245,-10.091845264243087,-10.901769609166774,-10.729866808807753,-11.520647490831635,-11.288396729235762
72,24,2023-06-04 12:15:00,-10.15480716129662,-9.914056948775558,-9.458844145818505,-9.1225364989719,-8.51649600493231,-8.331413441316585,-8.83160591252766,-8.644011114433884,-10.236499115775189,-10.06689630883917,-10.901769609166774,-10.729866808807753,-11.508377229251664,-11.283726389254396
73,25,2023-06-04 12:45:00,-10.15480716129662,-9.914056948775558,-9.458844145818505,-9.1225364989719,-8.494270913270613,-8.322016293245978,-8.802034369545193,-8.610365411848353,-10.21537011140324,-10.048960405165184,-10.901769609166774,-10.729866808807753,-11.502315852215553,-11.273538276281856
74,26,2023-06-04 13:15:00,-10.15480716129662,-9.914056948775558,-9.470288693379368,-9.123571591612722,-8.487205704757946,-8.320468624655739,-8.802034369545193,-8.610365411848353,-10.1458778800134,-9.975726592268504,-10.879266533501935,-10.70445465259719,-11.492498603192612,-11.271732579953232
75,27,2023-06-04 13:45:00,-10.05955266316649,-9.83927675958003,-9.48080288997851,-9.150029158362075,-8.487205704757946,-8.31398400976524,-8.802034369545193,-8.610365411848353,-10.034613745963522,-9.87447865622728,-10.854856466947718,-10.675984885509212,-11.492000322102506,-11.271732579953232
76,28,2023-06-04 14:15:00,-9.97602502122169,-9.763702213927893,-9.483264429528711,-9.18546591290242,-8.489348483649321,-8.321883411134632,-8.802034369545193,-8.610365411848353,-9.989420062335228,-9.830041985666217,-10.81602195819586,-10.62890228353709,-11.491926395953849,-11.267609330509472
